Pile ID, DD-91,
Tip elevation (feet),-114.6,
-------,-------,-------
Depth (feet),Energy (BPM),Blows per foot
1,60,1
2,60,1
3,60,1
4,60,1
5,60,1
6,60,2
7,60,2
8,60,3
9,60,3
10,60,3
11,60,3
12,60,2
13,60,2
14,60,2
15,60,5
16,60,5
17,60,7
18,60,6
19,60,6
20,60,9
21,60,7
22,60,6
23,60,6
24,60,5
25,60,7
26,60,7
27,60,10
28,60,9
29,60,7
30,60,5
31,60,5
32,60,7
33,60,10
34,60,16
35,47,18
36,47,17
37,47,18
38,47,21
39,47,23
40,45,22
41,45,23
42,45,24
43,45,24
44,45,23
45,45,25
46,45,26
47,45,26
48,45,26
49,45,27
50,45,24
51,45,23
52,45,21
53,45,22
54,45,21
55,45,21
56,45,18
57,45,18
58,45,15
59,45,16
60,45,16
61,45,15
62,45,15
63,45,15
64,45,16
65,45,16
66,45,17
67,45,16
68,45,17
69,45,15
70,42,16
71,42,16
72,42,16
73,42,17
74,42,18
75,42,18
76,42,19
77,42,21
78,42,22
79,42,25
80,42,25
81,42,27
82,42,29
83,42,27
84,42,26
85,42,29
86,42,25
87,42,27
88,42,27
89,42,27
90,41,26
91,41,25
92,41,25
93,41,27
94,41,25
95,41,27
96,41,28
97,41,26
98,41,25
99,41,20
100,41,21
101,41,20
102,41,18
103,41,18
104,41,13
105,41,15
106,41,16
107,41,18
108,41,19
109,41,17
110,40,18
111,40,19
112,40,19
113,40,18
114,41,18
115,41,18
116,41,18
117,41,17
118,41,18
119,41,26
